"year","no_of_transaction","total_qty","total_revenue_usd"
"2017-01-01 23:51:09","18","10985","66381.57"
"2017-01-01 23:38:46","2","1203","8384.61"
"2017-01-01 22:00:42","2","776","4521.36"
"2017-01-01 20:40:40","3","1180","6402.38"
"2017-01-01 17:12:20","7","4686","31231.56"
"2017-01-01 17:11:54","9","4205","22681.17"
"2017-01-01 16:35:55","8","3121","21692.01"
"2017-01-01 16:24:35","1","170","1036.57"
"2017-01-01 15:09:06","14","6175","32937.93"
"2017-01-01 13:38:18","65","36603","244695.99"
"2017-01-01 13:18:08","28","12723","67459.65"
"2017-01-01 13:12:29","2","1203","8384.61"
"2017-01-01 11:33:12","58","24948","138323.59"
"2017-01-01 11:26:10","10","2063","13507.23"
"2017-01-01 10:41:25","4","2426","16976.76"
"2017-01-01 09:58:52","3","1180","6402.38"
"2017-01-01 09:31:44","1","170","1036.57"
"2017-01-01 09:26:38","21","8842","47487.78"
"2017-01-01 09:23:46","2","1461","9536.55"
"2017-01-01 08:45:40","17","11480","76630.92"
"2017-01-01 08:29:39","15","9207","61255.50"
"2017-01-01 08:07:26","9","3711","19218.88"
"2017-01-01 07:58:23","2","1674","10678.77"
"2017-01-01 06:03:58","2","1674","10678.77"
"2017-01-01 05:21:26","2","776","4521.36"
"2017-01-01 05:19:38","13","7434","52020.60"
"2017-01-01 04:33:20","1","170","1036.57"
"2017-01-01 02:56:41","10","3810","20767.15"
"2017-01-01 02:06:26","2","1674","10678.77"
"2017-01-01 00:57:49","2","1461","9536.55"
"2017-01-01 00:53:11","4","846","5739.63"
"2016-12-31 23:05:47","11","10030","67439.95"
"2016-12-31 22:59:01","5","894","5735.41"
"2016-12-31 21:09:52","62","34581","234225.65"
"2016-12-31 21:05:50","60","23956","130893.51"
"2016-12-31 19:25:14","1","164","859.64"
"2016-12-31 18:49:06","16","12396","81700.33"
"2016-12-31 17:40:02","23","9789","54792.72"
"2016-12-31 16:58:02","30","18186","120523.91"
"2016-12-31 16:31:23","9","3022","16626.60"
"2016-12-31 16:03:21","5","2185","11501.84"
"2016-12-31 15:46:16","8","5759","37653.96"
"2016-12-31 13:41:13","9","3785","25198.55"
"2016-12-31 13:15:39","13","4734","25526.30"
"2016-12-31 12:34:55","3","1074","5616.90"
"2016-12-31 11:22:01","10","5169","34675.03"
